frame_idx,cx_px,cy_px,radius_px
0,1671.8340870206769,187.74238521373553,91.32990426198388
1,1580.847914388377,246.8251900744675,90.27738546197368
2,1491.395021142739,305.14072168935644,90.7205622621911
3,1403.471405260004,361.6828061855407,91.22964756068926
4,1316.6922216661412,419.44215833472356,92.66202040137405
5,1229.981354074979,476.1415449651811,94.12755455754028
6,1146.4142923428424,530.3330631567201,95.03957325921837
7,973.7432432432432,766.7522522522522,3.431831258788849
8,983.0555555555555,772.8222222222222,3.7846987830302403
9,923.527302363488,821.1613691931541,8.06810831140641
10,941.2125,846.9625,3.5682482323055424
11,914.5859649122806,837.9754385964911,3.888408362521876
12,730.9840150446638,766.5083564614707,83.64288964660138
13,691.3743039896922,769.4864632705965,83.16965875041183
14,651.8128574798042,754.5397650215224,84.83880684208067
15,613.4717432950191,728.4882548804962,83.53817058502914
16,579.7073227611941,698.2141070217097,86.64306294077166
17,542.1815356744704,666.6829152731326,87.25807972627103
18,506.78264753170964,631.2262450624268,89.54365906096643
19,412.6102564102564,888.7846153846153,3.2163754912903433
20,339.25,997.42,3.989422804014327
21,324.12734082397003,995.1123595505618,3.763613946086751
22,343.98055555555555,1060.425,7.569397566060481
23,,,
24,,,
25,,,
26,,,
27,,,
