frame_idx,theta_rad,omega_rad_s
1,-0.4619414238718371,2.788989718369592
2,-0.4619414238718371,2.788989718369592
3,-0.4503206333786305,2.788989718369592
8,-0.3369957961346426,1.176337782156569
9,-0.25873039336386405,2.788989718369592
10,-0.2543643589893616,1.176337782156569
11,-0.21550603426333428,1.0478482498805874
12,-0.21550603426333428,0.0
13,-0.21550603426333428,0.0
14,-0.21550603426333428,0.0
17,-1.3730861580253868,-1.965181869726802
18,-1.3973060200475897,-1.965181869726802
19,-1.405494277838118,-1.965181869726802
20,-1.405494277838118,-1.965181869726802
