frame_idx,cx_px,cy_px,radius_px
0,379.5,915.5,3.6125759969217834
1,378.8576998050682,910.4873294346977,5.216847253726536
2,378.8576998050682,910.4873294346977,5.216847253726536
3,378.8576998050682,910.4873294346977,5.216847253726536
4,412.78282828282823,1003.2828282828282,3.2410224072142872
5,406.67391304347825,877.6449275362319,3.826519928662906
6,695.0859300095877,899.2226909555768,81.48585291812238
7,681.9943134184343,895.88125405337,81.90081948033865
8,677.4581898551786,878.6438627982513,93.21600330975963
9,669.4306521718721,859.4914946348607,106.31194254987469
10,660.9258032744234,835.8180780881232,119.47305583769352
11,653.0929704986792,806.7839258467598,125.63958598204773
12,648.0364078009716,769.3375369258123,123.11490632859916
13,643.4710135454116,728.5003413588989,120.8670022231257
14,663.3539518900343,828.446735395189,3.9291257907979795
15,683.1512605042017,772.0588235294117,4.351946487255507
16,674.3456032719836,831.3312883435583,5.093354074083103
17,725.9270833333333,813.859375,3.1915382432114616
18,717.6498599439775,880.3109243697479,4.351946487255507
19,,,
20,844.0,875.5,3.2897623212397704
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,875.828431372549,841.9313725490196,3.2897623212397704
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
