frame_idx,theta_rad,omega_rad_s
1,-1.1333077164540981,0.0
2,-1.1333077164540981,0.0
3,-1.1333077164540981,0.0
4,-1.0191495179687093,0.0
5,-1.0191495179687093,0.0
6,-1.0191495179687093,0.0
7,-1.0160672045295023,0.0
8,-1.0417261394724142,0.0
9,-1.1077290897421,-0.36973555654345347
10,-1.1077290897421,-0.36973555654345347
11,-1.109269654561031,0.0
12,-1.109269654561031,0.0
13,-1.109269654561031,0.0
14,-1.0864022885807438,2.6422528766379116
22,-1.0053491303916289,2.6422528766379116
25,-0.9450750142229634,2.6422528766379116
26,-0.9388095864886896,2.6422528766379116
27,-0.9388095864886896,1.5037026562256983
28,-0.8333896307552529,0.0
31,-0.605756986215026,0.0
32,-0.6298990230946777,0.0
